Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Hanninen, Kaj; Maki-Turja, Jukka; Nolin, Mikael; Lindberg, Mats; Lundback, John; Lundback, Kurt-Lennart; ",The Rubus component model for resource constrained real-time systems,2008 International Symposium on Industrial Embedded Systems,,,177-183,2008,IEEE
"Campeanu, Gabriel; Carlson, Jan; Sentilles, Séverine; Mubeen, Saad; ",Extending the Rubus component model with GPU-aware components,2016 19th International ACM SIGSOFT Symposium on Component-Based Software Engineering (CBSE),,,59-68,2016,IEEE
"Bucaioni, Alessio; Cicchetti, Antonio; Ciccozzi, Federico; Mubeen, Saad; Sjödin, Mikael; ",A metamodel for the rubus component model: Extensions for timing and model transformation from EAST-ADL,IEEE Access,5,,9005-9020,2016,IEEE
"Bureš, Tomáš; Carlson, Jan; Crnkovic, Ivica; Sentilles, Séverine; Vulgarakis, Aneta; ",ProCom–the Progress Component Model Reference Manual,"Mälardalen University, Västerås, Sweden",,,,2008,
"Bucaioni, Alessio; Mubeen, Saad; Ciccozzi, Federico; Cicchetti, Antonio; Sjödin, Mikael; ",Modelling multi-criticality vehicular software systems: evolution of an industrial component model,Software and Systems Modeling,19,5,1283-1302,2020,Springer
"Bucaioni, Alessio; Cicchetti, Antonio; Sjödin, Mikael; ",Towards a Metamodel for the Rubus Component Model.,ModComp@ MoDELS,,,46-56,2014,Citeseer
"Mubeen, Saad; Bud, Harold; Lundbäck, John; Gålnander, Mattias; Lundbäck, Kurt-Lennart; ",Provisioning of predictable embedded software in the vehicle industry: The rubus approach,2017 IEEE/ACM 4th International Workshop on Software Engineering Research and Industrial Practice (SER&IP),,,3-9,2017,IEEE
"Hansson, Hans; Åkerholm, Mikael; Crnkovic, Ivica; Torngren, Martin; ",SaveCCM-a component model for safety-critical real-time systems,"Proceedings. 30th Euromicro Conference, 2004.",,,627-635,2004,IEEE
"Mubeen, Saad; Mäki-Turja, Jukka; Sjödin, Mikael; ",Extraction of end-to-end timing model from component-based distributed real-time embedded systems,"Embedded Systems Week, Oct. 9-14 2011, Taipei, Taiwan",,,,2011,
"Mubeen, Saad; Gålnander, Mattias; Bucaioni, Alessio; Lundbäck, John; Lundbäck, Kurt-Lennart; ",Timing verification of component-based vehicle software with rubus-ICE: end-user's experience,2018 IEEE/ACM 1st International Workshop on Software Qualities and their Dependencies (SQUADE),,,37-38,2018,IEEE
"Bucaioni, Alessio; Mubeen, Saad; Lundbäck, John; Lundbäck, Kurt-Lennart; Mäki-Turja, Jukka; Sjödin, Mikael; ",Demonstrator for modeling and development of component-based distributed real-time systems with rubus-ice,Open Demo Session of Real-Time Systems located at Real Time Systems Symposium (RTSS),,,,2013,
"Hänninen, Kaj; Mäki-Turja, Jukka; Nolin, Mikael; Lindberg, Mats; Lundbäck, John; Lundbäck, Kurt-Lennart; ",Supporting engineering requirements in the rubus component model,,,,,2008,Citeseer
"Mubeen, Saad; Maki-Turja, Jukka; Sjodin, Mikael; Carlson, Jan; ",Analyzable modeling of legacy communication in component-based distributed embedded systems,2011 37th EUROMICRO Conference on Software Engineering and Advanced Applications,,,229-238,2011,IEEE
"Mubeen, Saad; Mäki-Turja, Jukka; Sjödin, Mikael; ","Implementation of holistic response-time analysis in rubus-ICE: preliminary findings, issues and experiences","The 32nd IEEE Real-Time Systems Symposium (RTSS), WIP Session",,,9-12,2011,
"SJÖDIN, MIKAEL; ",A Metamodel for the Rubus Component Model: Extensions for Timing and Model Transformation From EAST-ADL,,,,,,
"Mubeen, Saad; Mäki-Turja, Jukka; Sjödin, Mikael; ",Exploring options for modeling of real-time network communication in an industrial component model for distributed embedded systems,Proceedings of the International Conference on Human-centric Computing 2011 and Embedded and Multimedia Computing 2011,,,441-458,2011,Springer
"Bucaioni, Alessio; Mubeen, Saad; Ciccozzi, Federico; Cicchetti, Antonio; Sjödin, Mikael; ",Technology-preserving transition from single-core to multi-core in modelling vehicular systems,European Conference on Modelling Foundations and Applications,,,285-299,2017,Springer
"Bucaioni, Alessio; Becker, Matthias; Lundbäck, John; Mackamul, Harald; ",From amalthea to rcm and back: a practical architectural mapping scheme,2020 46th Euromicro Conference on Software Engineering and Advanced Applications (SEAA),,,537-544,2020,IEEE
"Aybek, Mehmet Onur; Jordao, Rodolfo; Lundbäck, John; Lundbäck, Kurt-Lennart; Becker, Matthias; ",From the Synchronous Data Flow Model of Computation to an Automotive Component Model,2021 26th IEEE International Conference on Emerging Technologies and Factory Automation (ETFA),,,1-8,2021,IEEE
